Date,Match,Score,Winner
2022-08-29,New England Revolution vs. LA Galaxy,1 - 2,LA Galaxy
2019-05-11,New England Revolution vs. San Jose Earthquakes,3 - 1,New England Revolution
2023-09-17,Colorado Rapids vs. New England Revolution,2 - 1,Colorado Rapids
2023-04-22,New England Revolution vs. Sporting Kansas City,2 - 1,New England Revolution
2022-03-05,New England Revolution vs. FC Dallas,1 - 0,New England Revolution
2021-04-25,LA Galaxy vs. New York Red Bulls,3 - 2,LA Galaxy
2022-02-26,San Jose Earthquakes vs. New York Red Bulls,1 - 3,New York Red Bulls
2022-08-02,New York Red Bulls vs. Colorado Rapids,4 - 5,Colorado Rapids
2022-07-04,Sporting Kansas City vs. New York Red Bulls,0 - 1,New York Red Bulls
2019-05-11,FC Dallas vs. New York Red Bulls,1 - 3,New York Red Bulls
2023-05-20,D.C. United vs. LA Galaxy,3 - 0,D.C. United
2021-05-02,San Jose Earthquakes vs. D.C. United,4 - 1,San Jose Earthquakes
2020-02-29,D.C. United vs. Colorado Rapids,1 - 2,Colorado Rapids
2022-09-14,Sporting Kansas City vs. D.C. United,3 - 0,Sporting Kansas City
2023-07-05,FC Dallas vs. D.C. United,0 - 1,D.C. United
2023-05-17,Columbus Crew vs. LA Galaxy,2 - 0,Columbus Crew
2018-04-28,Columbus Crew vs. San Jose Earthquakes,2 - 1,Columbus Crew
2023-05-31,Columbus Crew vs. Colorado Rapids,3 - 2,Columbus Crew
2019-06-23,Columbus Crew vs. Sporting Kansas City,0 - 1,Sporting Kansas City
2019-03-16,Columbus Crew vs. FC Dallas,1 - 0,Columbus Crew
2023-08-27,LA Galaxy vs. Chicago Fire FC,3 - 0,LA Galaxy
2022-07-04,San Jose Earthquakes vs. Chicago Fire FC,2 - 1,San Jose Earthquakes
2019-04-20,Chicago Fire FC vs. Colorado Rapids,4 - 1,Chicago Fire FC
2023-06-25,Sporting Kansas City vs. Chicago Fire FC,0 - 1,Chicago Fire FC
2019-09-14,Chicago Fire FC vs. FC Dallas,4 - 0,Chicago Fire FC
