Date,Match,Score,Winner
2013-06-02,New England Revolution vs. LA Galaxy,5 - 0,New England Revolution
2013-07-06,New England Revolution vs. San Jose Earthquakes,2 - 0,New England Revolution
2013-07-18,Colorado Rapids vs. New England Revolution,2 - 1,Colorado Rapids
2013-08-11,Sporting Kansas City vs. New England Revolution,3 - 0,Sporting Kansas City
2013-03-30,New England Revolution vs. FC Dallas,0 - 1,FC Dallas
2013-05-19,New York Red Bulls vs. LA Galaxy,1 - 0,New York Red Bulls
2013-03-11,San Jose Earthquakes vs. New York Red Bulls,2 - 1,San Jose Earthquakes
2013-07-05,Colorado Rapids vs. New York Red Bulls,2 - 0,Colorado Rapids
2013-08-03,Sporting Kansas City vs. New York Red Bulls,2 - 3,New York Red Bulls
2013-09-22,New York Red Bulls vs. FC Dallas,1 - 0,New York Red Bulls
2013-06-22,D.C. United vs. San Jose Earthquakes,1 - 0,D.C. United
2013-10-19,Sporting Kansas City vs. D.C. United,1 - 0,Sporting Kansas City
2013-05-12,FC Dallas vs. D.C. United,2 - 1,FC Dallas
2013-07-05,LA Galaxy vs. Columbus Crew,2 - 1,LA Galaxy
2013-05-11,Columbus Crew vs. Colorado Rapids,0 - 2,Colorado Rapids
2013-10-05,Columbus Crew vs. Sporting Kansas City,0 - 1,Sporting Kansas City
2013-09-30,FC Dallas vs. Columbus Crew,2 - 4,Columbus Crew
2013-03-03,LA Galaxy vs. Chicago Fire FC,4 - 0,LA Galaxy
2013-07-04,Chicago Fire FC vs. San Jose Earthquakes,3 - 2,Chicago Fire FC
2013-06-20,Chicago Fire FC vs. Colorado Rapids,2 - 1,Chicago Fire FC
2013-08-24,Chicago Fire FC vs. Sporting Kansas City,1 - 0,Chicago Fire FC
2013-10-13,FC Dallas vs. Chicago Fire FC,2 - 3,Chicago Fire FC
