game_id,date_time_utc,home_score,away_score,home_team_id,away_team_id,referee_id,stadium_id,home_manager_id,away_manager_id,expanded_minutes,season_name,matchday,attendance,knockout_game,status,last_updated_utc,home_team,away_team
gpMO6YwEQz,2022-04-02 23:30:00 UTC,0,1,19vQ2095K6,a2lqRX2Mr0,2lqRymD5r0,wvq9p775Wn,LeVq3j5WOJ,9z5kKNb5A3,99,2022,5,16265,False,FullTime,2022-04-06 12:48:40 UTC,New England Revolution,New York Red Bulls
gpMO6E9lQz,2022-09-10 22:00:00 UTC,2,1,a2lqRX2Mr0,19vQ2095K6,KPqjDeNM6v,NWMW84L5lz,9z5kKNb5A3,LeVq3j5WOJ,100,2022,30,16301,False,FullTime,2022-09-14 05:11:49 UTC,New York Red Bulls,New England Revolution
4JMA7Ea2qK,2022-08-13 23:30:00 UTC,1,0,19vQ2095K6,EKXMeX3Q64,ljqEymNqx0,wvq9p775Wn,LeVq3j5WOJ,OlMlzkgqLz,98,2022,25,24240,False,FullTime,2022-08-17 04:51:21 UTC,New England Revolution,D.C. United
Oa5w1ay8Q1,2022-04-23 23:30:00 UTC,3,2,EKXMeX3Q64,19vQ2095K6,0Oq6vG2q6D,xW5pwORMg1,p6qbk3BQ0G,LeVq3j5WOJ,102,2022,8,17131,False,FullTime,2022-04-27 11:39:37 UTC,D.C. United,New England Revolution
eV5DrbdaQK,2022-05-07 23:30:00 UTC,2,2,19vQ2095K6,mvzqoLZQap,7VqG6KX5vW,wvq9p775Wn,LeVq3j5WOJ,NPqxkDY59d,99,2022,10,26421,False,FullTime,2022-05-10 15:14:27 UTC,New England Revolution,Columbus Crew
4wM4GmxNQj,2022-07-23 23:30:00 UTC,0,0,mvzqoLZQap,19vQ2095K6,zeQZl7D5Kw,2vQ1eawQrA,NPqxkDY59d,LeVq3j5WOJ,97,2022,22,20383,False,FullTime,2022-07-27 13:30:15 UTC,Columbus Crew,New England Revolution
4wM4GmayQj,2022-08-31 23:30:00 UTC,0,0,19vQ2095K6,X0Oq66zq6D,0Oq6vG2q6D,wvq9p775Wn,LeVq3j5WOJ,2vQ1A60QrA,100,2022,28,13325,False,FullTime,2022-09-03 19:53:10 UTC,New England Revolution,Chicago Fire FC
gpMO6ErlQz,2022-10-09 18:30:00 UTC,1,1,X0Oq66zq6D,19vQ2095K6,0Oq6mnX56D,9YqdkYR5vJ,2vQ1A60QrA,LeVq3j5WOJ,95,2022,34,14357,False,FullTime,2022-10-12 11:20:37 UTC,Chicago Fire FC,New England Revolution
NPqxrazgM9,2022-05-28 23:00:00 UTC,4,1,a2lqRX2Mr0,EKXMeX3Q64,vzqoWjkqap,NWMW84L5lz,9z5kKNb5A3,p6qbk3BQ0G,100,2022,14,13678,False,FullTime,2022-06-01 08:47:50 UTC,New York Red Bulls,D.C. United
7vQ7nm3OqD,2022-08-06 23:30:00 UTC,0,0,EKXMeX3Q64,a2lqRX2Mr0,aDQ0mkPMEv,xW5pwORMg1,OlMlzkgqLz,9z5kKNb5A3,102,2022,24,16258,False,FullTime,2022-08-10 15:12:48 UTC,D.C. United,New York Red Bulls
